episode,reward,td_error,epsilon,hops,delay_ms,dropped,avg_util
45,-3.5999999999999996,0.30673624999999993,0.9988967067853989,8,26.0,0.0,0.03076923076923077
46,0.09999999999999987,0.27285000000000004,0.9988801252032872,4,9.0,0.0,0.025
47,0.7,0.63,0.9988759798507676,1,3.0,0.0,0.0026923076923076926
48,-3.4000000000000004,0.41525,0.9988428176499206,8,24.0,0.0,0.03115384615384615
49,-0.5000000000000001,0.2623745,0.9988262369623628,4,15.0,0.0,0.015384615384615385
50,0.09999999999999998,0.2910466666666667,0.9988138016273195,3,9.0,0.0,0.01846153846153846
51,-0.19999999999999996,0.254355,0.9987972214214247,4,12.0,0.0,0.02307692307692308
52,-3.1,0.3597397725,0.9987640618353195,8,21.0,0.0,0.03692307692307692
53,-3.8000000000000007,0.34515225000000005,0.9987309033500966,8,28.0,0.0,0.04153846153846154
54,-2.9,0.32306504750000004,0.9986977459657195,8,19.0,0.0,0.026923076923076925
55,-3.4,0.3248686224999999,0.9986645896821517,8,24.0,0.0,0.02307692307692308
56,-0.10000000000000009,0.24938999999999997,0.9986480119531597,4,11.0,0.0,0.026923076923076925
57,-2.6999999999999997,0.30957312625,0.9986148573207372,8,17.0,0.0,0.02076923076923077
58,-0.10000000000000009,0.27,0.9985982804172973,4,11.0,0.0,0.016153846153846154
59,-3.6999999999999997,0.39482453924999994,0.9985651274359376,8,27.0,0.0,0.03461538461538462
60,-3.8,0.37371544149999997,0.9985319755552412,8,28.0,0.0,0.026923076923076925
61,-3.5,0.32468564499999997,0.9984988247751709,8,25.0,0.0,0.05076923076923076
62,-2.8,0.26208703499999997,0.9984656750956907,8,18.0,0.0,0.06153846153846154
63,-3.3,0.341102076,0.9984325265167638,8,23.0,0.0,0.04615384615384615
64,-0.5,0.2710458682857143,0.9984035224129717,7,15.0,0.0,0.03076923076923077
65,-0.5999999999999999,0.29068108,0.9983786624231874,6,16.0,0.0,0.03076923076923077
66,-3.8,0.374952438,0.9983455167330392,8,28.0,0.0,0.02769230769230769
67,-3.2,0.3405943438325001,0.9983123721433119,8,22.0,0.0,0.045
68,-3.1,0.29114723825,0.9982792286539691,8,21.0,0.0,0.026923076923076925
69,0.09999999999999987,0.3008323333333333,0.998266800129151,3,9.0,0.0,0.02153846153846154
70,-1.0,0.3683589544,0.9982460862649741,5,20.0,0.0,0.017307692307692305
71,-4.3,0.468035,0.9982129449762905,8,33.0,0.0,0.04307692307692308
72,0.5,0.45,0.9982088023925689,1,5.0,0.0,0.005384615384615385
73,0.8,0.72,0.998204659826039,1,2.0,0.0,0.003076923076923077
74,0.7,0.36931949999999997,0.9981963747445541,2,3.0,0.0,0.015000000000000001
75,-3.8000000000000003,0.37047633176249994,0.998163235106269,8,28.0,0.0,0.057692307692307696
76,0.9,0.6560999999999999,0.9981590927288434,1,1.0,0.0,0.004615384615384615
77,0.19999999999999996,0.344568189,0.9981466656997112,3,8.0,0.0,0.004615384615384615
78,-1.2000000000000002,0.25032994768575,0.9981135277117423,8,22.0,0.0,0.046538461538461535
79,-2.8,0.2766549365,0.9980803908239387,8,18.0,0.0,0.03076923076923077
80,0.6,0.43739999999999996,0.9980762487903169,1,4.0,0.0,0.005384615384615385
81,0.6,0.6,0.9980721067738844,1,4.0,0.0,0.0026923076923076926
82,-3.8,0.339985284125,0.9980389712612359,8,28.0,0.0,0.02769230769230769
83,0.7,0.63,0.9980348293995052,1,3.0,0.0,0.0038461538461538464
84,-3.3,0.2674439011125,0.9980016951244476,8,23.0,0.0,0.03807692307692308
85,-4.0,0.4706681695,0.997968561949432,8,30.0,0.0,0.03461538461538461
86,0.8,0.8,0.9979644203798999,1,2.0,0.0,0.007692307692307693
87,-3.0,0.304357097175,0.9979312884423878,8,20.0,0.0,0.025384615384615387
88,0.3,0.20952500000000002,0.9979230056298806,2,7.0,0.0,0.008076923076923077
89,-0.30000000000000004,0.2523875,0.9979064402111073,4,13.0,0.0,0.015384615384615385
90,0.5,0.50935,0.99789815760484,2,5.0,0.0,0.011538461538461537
91,-0.30000000000000004,0.278506496372,0.997877451389932,5,13.0,0.0,0.02307692307692308
92,-2.4,0.228943944575,0.9978443223397485,8,14.0,1.0,0.060000000000000005
