algo,episode,src,dst,path,hops,total_delay_ms,dropped,reward,avg_utilization,avg_queue_util,total_dropped_data,link0_nodes,link0_delay,link0_bandwidth,link0_load,link0_utilization,link0_queue_size_cur,link0_queue_used_cur,link0_queue_util,link0_dropped_data,link1_nodes,link1_delay,link1_bandwidth,link1_load,link1_utilization,link1_queue_size_cur,link1_queue_used_cur,link1_queue_util,link1_dropped_data,link2_nodes,link2_delay,link2_bandwidth,link2_load,link2_utilization,link2_queue_size_cur,link2_queue_used_cur,link2_queue_util,link2_dropped_data,link3_nodes,link3_delay,link3_bandwidth,link3_load,link3_utilization,link3_queue_size_cur,link3_queue_used_cur,link3_queue_util,link3_dropped_data,link4_nodes,link4_delay,link4_bandwidth,link4_load,link4_utilization,link4_queue_size_cur,link4_queue_used_cur,link4_queue_util,link4_dropped_data,link5_nodes,link5_delay,link5_bandwidth,link5_load,link5_utilization,link5_queue_size_cur,link5_queue_used_cur,link5_queue_util,link5_dropped_data,link6_nodes,link6_delay,link6_bandwidth,link6_load,link6_utilization,link6_queue_size_cur,link6_queue_used_cur,link6_queue_util,link6_dropped_data,link7_nodes,link7_delay,link7_bandwidth,link7_load,link7_utilization,link7_queue_size_cur,link7_queue_used_cur,link7_queue_util,link7_dropped_data
DQN,17,5,6,5→7→6,2,10.3363,0,,0.0416,0.1089,0.0000,5→7,8.6976,174.1153,0.0000,0.0000,52,0.0000,0.0000,0.0000,7→6,1.6387,37.7464,0.0000,0.0000,97,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,18,4,2,4→2,1,5.5764,0,,0.0525,0.0979,0.0000,4→2,5.5764,185.4164,0.0000,0.0000,81,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,19,7,1,7→6→2→1,3,18.1576,0,,0.0493,0.1058,0.0000,7→6,3.5014,79.9996,0.0000,0.0000,74,0.0000,0.0000,0.0000,6→2,6.8987,67.8407,0.0000,0.0000,81,0.0000,0.0000,0.0000,2→1,7.7574,34.5497,0.0000,0.0000,77,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,20,6,3,6→4→3,2,6.3148,0,,0.0384,0.0675,0.0000,6→4,1.0983,67.9481,0.0000,0.0000,49,0.0000,0.0000,0.0000,4→3,5.2166,33.1944,0.0000,0.0000,68,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,21,3,5,3→5,1,5.7984,0,,0.0349,0.0714,0.0000,3→5,5.7984,129.3129,0.0000,0.0000,81,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,22,3,7,3→4→6→7,3,19.4491,0,,0.0448,0.0429,0.0000,3→4,3.5745,64.7629,0.0000,0.0000,40,0.0000,0.0000,0.0000,4→6,6.1427,163.6677,0.0000,0.0000,73,0.0000,0.0000,0.0000,6→7,9.7320,42.4013,17.2182,0.4061,73,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,23,5,6,5→7→6,2,12.1354,0,,0.0574,0.1084,0.0000,5→7,2.2683,156.1282,0.0000,0.0000,50,0.0000,0.0000,0.0000,7→6,9.8671,114.9194,0.0000,0.0000,26,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,24,2,0,2→0,1,4.2781,0,,0.0478,0.0792,0.0000,2→0,4.2781,89.6036,0.0000,0.0000,48,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,25,1,3,1→3,1,2.6590,0,,0.0649,0.0903,0.0000,1→3,2.6590,22.6811,0.0000,0.0000,66,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,26,5,1,5→3→1,2,10.2300,1,,0.0255,0.0617,4.0500,5→3,2.9339,51.5149,0.0000,0.0000,57,0.0000,0.0000,0.0000,3→1,7.2961,169.1931,0.0000,0.0000,33,0.0000,0.0000,4.0500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,27,5,2,5→3→1→2,3,21.7980,0,,0.0273,0.0907,0.0000,5→3,8.1900,77.3176,0.0000,0.0000,53,0.0000,0.0000,0.0000,3→1,7.3224,135.3009,0.0000,0.0000,83,0.0000,0.0000,0.0000,1→2,6.2856,182.6656,0.0000,0.0000,20,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,28,2,5,2→4→5,2,15.1923,0,,0.0534,0.0790,0.0000,2→4,7.0557,198.5666,0.0000,0.0000,21,0.0000,0.0000,0.0000,4→5,8.1366,82.7834,0.0000,0.0000,22,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,29,4,5,4→6→2→1→0,4,22.3552,1,,0.0280,0.0520,19.3509,4→6,3.2669,151.2159,0.0000,0.0000,68,0.0000,0.0000,0.0000,6→2,3.4874,91.1517,0.0000,0.0000,44,0.0000,0.0000,0.0000,2→1,5.9933,70.6391,0.0000,0.0000,37,0.0000,0.0000,19.3509,1→0,9.6075,148.9214,0.0000,0.0000,92,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,30,2,5,2→4→5,2,3.9012,0,,0.0548,0.1585,0.0000,2→4,2.1374,192.5304,0.0000,0.0000,70,0.0000,0.0000,0.0000,4→5,1.7638,137.3784,0.0000,0.0000,94,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,31,7,4,7→5→4,2,9.4177,0,,0.0534,0.0711,0.0000,7→5,3.4592,187.6403,0.0000,0.0000,70,0.0000,0.0000,0.0000,5→4,5.9586,59.7444,0.0000,0.0000,93,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,32,2,0,2→1→0,2,9.6087,0,,0.0412,0.0916,0.0000,2→1,3.2664,103.5220,0.0000,0.0000,59,0.0000,0.0000,0.0000,1→0,6.3424,81.6897,0.0000,0.0000,85,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,33,1,5,1→4→6→2→0,4,19.5297,0,,0.0389,0.0723,0.0000,1→4,1.1223,179.4303,0.0000,0.0000,61,0.0000,0.0000,0.0000,4→6,5.9747,26.0896,0.0000,0.0000,31,0.0000,0.0000,0.0000,6→2,5.8276,106.3551,0.0000,0.0000,93,0.0000,0.0000,0.0000,2→0,6.6052,160.5910,0.0000,0.0000,85,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,34,0,3,0→1→3,2,15.3563,0,,0.0404,0.1333,0.0000,0→1,9.3477,168.6317,0.0000,0.0000,53,0.0000,0.0000,0.0000,1→3,6.0085,153.5460,0.0000,0.0000,53,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,35,1,4,1→4,1,6.9808,0,,0.0521,0.1279,0.0000,1→4,6.9808,90.0260,0.0000,0.0000,35,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,36,4,2,4→3→1→2,3,17.1147,0,,0.0385,0.0769,0.0000,4→3,5.0233,42.1529,0.0000,0.0000,58,0.0000,0.0000,0.0000,3→1,9.3761,36.0869,0.0000,0.0000,71,0.0000,0.0000,0.0000,1→2,2.7153,107.2089,0.0000,0.0000,45,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,37,3,2,3→1→2,2,13.3107,0,,0.0704,0.1433,0.0000,3→1,8.5243,73.2703,0.0000,0.0000,68,0.0000,0.0000,0.0000,1→2,4.7864,168.8287,0.0000,0.0000,64,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,38,7,4,7→5→4,2,10.8089,1,,0.0535,0.1359,70.0227,7→5,4.9932,181.9657,0.0000,0.0000,92,0.0000,0.0000,0.0000,5→4,5.8157,47.4419,0.0000,0.0000,28,0.0000,0.0000,70.0227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,39,4,0,4→1→0,2,10.7278,0,,0.0559,0.0943,0.0000,4→1,7.6815,25.4014,0.0000,0.0000,60,0.0000,0.0000,0.0000,1→0,3.0462,161.4484,0.0000,0.0000,97,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,40,2,1,2→1,1,2.8851,0,,0.0462,0.0499,0.0000,2→1,2.8851,114.9359,0.0000,0.0000,43,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,41,7,2,7→6→2,2,11.6686,0,,0.0367,0.0726,0.0000,7→6,8.3199,107.3673,0.0000,0.0000,99,0.0000,0.0000,0.0000,6→2,3.3488,178.8783,0.0000,0.0000,45,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,42,7,1,7→6→2→1,3,21.0100,0,,0.0348,0.1016,0.0000,7→6,1.4577,114.5348,0.0000,0.0000,34,0.0000,0.0000,0.0000,6→2,9.9735,176.7697,0.0000,0.0000,89,0.0000,0.0000,0.0000,2→1,9.5787,196.4762,0.0000,0.0000,80,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,43,5,2,5→3→1→2,3,17.0162,0,,0.0246,0.0338,0.0000,5→3,6.5525,27.2010,0.0000,0.0000,76,0.0000,0.0000,0.0000,3→1,1.0251,144.0556,0.0000,0.0000,74,0.0000,0.0000,0.0000,1→2,9.4387,86.8215,0.0000,0.0000,46,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,44,7,5,7→5,1,1.4890,0,,0.0814,0.1324,0.0000,7→5,1.4890,157.3509,0.0000,0.0000,63,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,45,7,1,7→6→2→1,3,13.8317,0,,0.0308,0.0655,0.0000,7→6,8.2455,172.1507,0.0000,0.0000,70,0.0000,0.0000,0.0000,6→2,1.1883,174.6505,0.0000,0.0000,30,0.0000,0.0000,0.0000,2→1,4.3978,169.2217,0.0000,0.0000,39,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,46,0,5,0→1→4→5,3,13.2844,1,,0.0333,0.0918,6.8871,0→1,7.5321,98.8055,0.0000,0.0000,73,0.0000,0.0000,0.0000,1→4,2.9456,169.3786,0.0000,0.0000,45,0.0000,0.0000,6.8871,4→5,2.8068,73.3458,0.0000,0.0000,67,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,47,4,2,4→2,1,3.4688,0,,0.0738,0.1438,0.0000,4→2,3.4688,35.6489,0.0000,0.0000,26,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,48,6,5,6→7→5,2,12.5087,0,,0.0136,0.0095,0.0000,6→7,8.3692,87.5264,0.0000,0.0000,72,0.0000,0.0000,0.0000,7→5,4.1395,29.7038,0.0000,0.0000,75,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,49,5,4,5→4,1,1.5098,0,,0.0532,0.0730,0.0000,5→4,1.5098,140.7700,0.0000,0.0000,62,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,50,4,5,4→6→7→5,3,10.5615,0,,0.0375,0.0888,0.0000,4→6,5.3242,185.3010,0.0000,0.0000,21,0.0000,0.0000,0.0000,6→7,3.9238,148.0590,0.0000,0.0000,37,0.0000,0.0000,0.0000,7→5,1.3136,173.4885,0.0000,0.0000,71,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,51,3,4,3→5→4,2,3.2833,0,,0.0780,0.1181,0.0000,3→5,1.7561,169.8759,0.0000,0.0000,69,0.0000,0.0000,0.0000,5→4,1.5271,80.5011,0.0000,0.0000,90,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,52,6,7,6→7,1,7.3866,0,,0.0510,0.1053,0.0000,6→7,7.3866,32.6037,0.0000,0.0000,34,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,53,2,6,2→6,1,6.4236,0,,0.0675,0.1415,0.0000,2→6,6.4236,193.9278,0.0000,0.0000,78,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,54,6,4,6→4,1,4.2518,0,,0.0442,0.1278,0.0000,6→4,4.2518,121.2439,0.0000,0.0000,38,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,55,0,2,0→2,1,1.6437,0,,0.0592,0.0939,0.0000,0→2,1.6437,23.9239,0.0000,0.0000,33,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,56,7,1,7→6→4→1,3,16.5404,0,,0.0275,0.0584,0.0000,7→6,6.8398,33.2450,0.0000,0.0000,87,0.0000,0.0000,0.0000,6→4,7.6984,157.2062,0.0000,0.0000,59,0.0000,0.0000,0.0000,4→1,2.0022,28.3723,0.0000,0.0000,59,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,57,0,2,0→2,1,4.4209,0,,0.0382,0.1004,0.0000,0→2,4.4209,83.2949,0.0000,0.0000,84,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,58,5,1,5→3→1,2,6.1899,0,,0.0273,0.0337,0.0000,5→3,3.4286,117.0594,0.0000,0.0000,53,0.0000,0.0000,0.0000,3→1,2.7613,78.2649,0.0000,0.0000,98,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,59,2,0,2→0,1,9.2825,0,,0.0319,0.0488,0.0000,2→0,9.2825,72.0791,0.0000,0.0000,28,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,60,2,4,2→4,1,3.6677,0,,0.0656,0.1401,0.0000,2→4,3.6677,167.1417,0.0000,0.0000,62,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,61,5,4,5→3→4,2,4.0159,1,,0.0626,0.1116,19.6460,5→3,1.1871,165.9308,0.0000,0.0000,89,0.0000,0.0000,0.0000,3→4,2.8288,128.0675,0.0000,0.0000,37,0.0000,0.0000,19.6460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,62,3,5,3→5,1,9.5414,0,,0.0542,0.0795,0.0000,3→5,9.5414,184.7021,0.0000,0.0000,86,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,63,6,2,6→2,1,1.4531,0,,0.0569,0.1157,0.0000,6→2,1.4531,64.5886,0.0000,0.0000,73,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
