algo,episode,src,dst,path,hops,total_delay_ms,dropped,reward,avg_utilization,avg_queue_util,total_dropped_data,link0_nodes,link0_delay,link0_bandwidth,link0_load,link0_utilization,link0_queue_size_cur,link0_queue_used_cur,link0_queue_util,link0_dropped_data,link1_nodes,link1_delay,link1_bandwidth,link1_load,link1_utilization,link1_queue_size_cur,link1_queue_used_cur,link1_queue_util,link1_dropped_data,link2_nodes,link2_delay,link2_bandwidth,link2_load,link2_utilization,link2_queue_size_cur,link2_queue_used_cur,link2_queue_util,link2_dropped_data,link3_nodes,link3_delay,link3_bandwidth,link3_load,link3_utilization,link3_queue_size_cur,link3_queue_used_cur,link3_queue_util,link3_dropped_data,link4_nodes,link4_delay,link4_bandwidth,link4_load,link4_utilization,link4_queue_size_cur,link4_queue_used_cur,link4_queue_util,link4_dropped_data,link5_nodes,link5_delay,link5_bandwidth,link5_load,link5_utilization,link5_queue_size_cur,link5_queue_used_cur,link5_queue_util,link5_dropped_data,link6_nodes,link6_delay,link6_bandwidth,link6_load,link6_utilization,link6_queue_size_cur,link6_queue_used_cur,link6_queue_util,link6_dropped_data,link7_nodes,link7_delay,link7_bandwidth,link7_load,link7_utilization,link7_queue_size_cur,link7_queue_used_cur,link7_queue_util,link7_dropped_data
OSPF,64,5,4,5→4,1,2.5389,0,,0.0518,0.1538,0.0000,5→4,2.5389,177.5702,0.0000,0.0000,26,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,65,4,6,4→6,1,4.6544,0,,0.0316,0.0903,0.0000,4→6,4.6544,162.4163,0.0000,0.0000,30,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,66,2,1,2→1,1,2.2390,0,,0.0680,0.1261,0.0000,2→1,2.2390,59.6368,0.0000,0.0000,43,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,67,5,6,5→7→6,2,10.3363,0,,0.0416,0.1089,0.0000,5→7,8.6976,174.1153,0.0000,0.0000,52,0.0000,0.0000,0.0000,7→6,1.6387,37.7464,0.0000,0.0000,97,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,68,4,2,4→2,1,5.5764,0,,0.0525,0.0979,0.0000,4→2,5.5764,185.4164,0.0000,0.0000,81,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,69,7,1,7→5→3→1,3,10.9700,0,,0.0527,0.1073,0.0000,7→5,8.2946,169.0841,0.0000,0.0000,95,0.0000,0.0000,0.0000,5→3,1.3072,53.3333,0.0000,0.0000,22,0.0000,0.0000,0.0000,3→1,1.3682,149.9721,0.0000,0.0000,54,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,70,6,3,6→4→3,2,6.3148,0,,0.0384,0.0675,0.0000,6→4,1.0983,67.9481,0.0000,0.0000,49,0.0000,0.0000,0.0000,4→3,5.2166,33.1944,0.0000,0.0000,68,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,71,3,5,3→5,1,5.7984,0,,0.0349,0.0714,0.0000,3→5,5.7984,129.3129,0.0000,0.0000,81,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,72,3,7,3→5→7,2,11.2654,0,,0.0487,0.0656,0.0000,3→5,2.2549,90.5161,0.0000,0.0000,76,0.0000,0.0000,0.0000,5→7,9.0105,173.7597,0.0000,0.0000,51,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,73,5,6,5→3→4→2→6,4,11.2166,1,,0.0372,0.0489,83.2824,5→3,2.7610,188.9594,0.0000,0.0000,50,0.0000,0.0000,4.0227,3→4,3.3874,115.7731,0.0000,0.0000,46,0.0000,0.0000,51.0227,4→2,1.2961,163.1601,0.0000,0.0000,60,0.0000,0.0000,7.7501,2→6,3.7720,63.1033,11.6335,0.1844,68,0.0000,0.0000,20.4869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,74,2,0,2→0,1,4.2781,0,,0.0478,0.0792,0.0000,2→0,4.2781,89.6036,0.0000,0.0000,48,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,75,1,3,1→3,1,2.6590,0,,0.0649,0.0903,0.0000,1→3,2.6590,22.6811,0.0000,0.0000,66,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,76,5,1,5→4→1,2,7.9000,0,,0.0321,0.0894,0.0000,5→4,1.1474,55.8161,0.0000,0.0000,93,0.0000,0.0000,0.0000,4→1,6.7526,177.2824,0.0000,0.0000,34,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,77,5,2,5→4→2,2,7.1808,0,,0.0315,0.1074,0.0000,5→4,3.8224,37.4288,0.0000,0.0000,92,0.0000,0.0000,0.0000,4→2,3.3584,196.2569,0.0000,0.0000,77,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,78,2,5,2→6→7→5,3,13.9288,0,,0.0400,0.0562,0.0000,2→6,1.6819,153.9975,0.0000,0.0000,88,0.0000,0.0000,0.0000,6→7,4.3654,129.6158,0.0000,0.0000,66,0.0000,0.0000,0.0000,7→5,7.8815,131.8743,0.0000,0.0000,57,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,79,4,5,4→5,1,8.6608,0,,0.0529,0.1085,0.0000,4→5,8.6608,89.2071,0.0000,0.0000,94,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,80,2,5,2→4→5,2,3.9012,0,,0.0548,0.1585,0.0000,2→4,2.1374,192.5304,0.0000,0.0000,70,0.0000,0.0000,0.0000,4→5,1.7638,137.3784,0.0000,0.0000,94,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,81,7,4,7→5→3→4,3,8.9140,0,,0.0402,0.0579,0.0000,7→5,3.4592,187.6403,0.0000,0.0000,70,0.0000,0.0000,0.0000,5→3,1.8339,45.3882,0.0000,0.0000,93,0.0000,0.0000,0.0000,3→4,3.6209,124.6668,0.0000,0.0000,92,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,82,2,0,2→0,1,9.3495,0,,0.0491,0.1077,0.0000,2→0,9.3495,64.1948,0.0000,0.0000,35,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,83,1,5,1→4→5,2,4.6003,0,,0.0557,0.1019,0.0000,1→4,1.1223,179.4303,0.0000,0.0000,61,0.0000,0.0000,0.0000,4→5,3.4780,59.4445,0.0000,0.0000,60,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,84,0,3,0→2→1→3,3,12.5103,0,,0.0335,0.1116,0.0000,0→2,4.6454,105.3077,0.0000,0.0000,55,0.0000,0.0000,0.0000,2→1,1.8564,97.2228,0.0000,0.0000,38,0.0000,0.0000,0.0000,1→3,6.0085,153.5460,0.0000,0.0000,53,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,85,1,4,1→3→4,2,3.5859,1,,0.0426,0.1059,18.1618,1→3,1.4202,155.6649,0.0000,0.0000,96,0.0000,0.0000,0.0000,3→4,2.1657,137.6596,0.0000,0.0000,42,0.0000,0.0000,18.1618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,86,4,2,4→2,1,7.3656,0,,0.0567,0.1145,0.0000,4→2,7.3656,27.2070,0.0000,0.0000,21,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,87,3,2,3→5→4→2,3,6.0323,0,,0.0597,0.1195,0.0000,3→5,1.8370,129.0149,0.0000,0.0000,77,0.0000,0.0000,0.0000,5→4,1.3315,139.8215,0.0000,0.0000,64,0.0000,0.0000,0.0000,4→2,2.8638,130.0373,0.0000,0.0000,59,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,88,7,4,7→6→4,2,7.6473,1,,0.0546,0.1392,15.9035,7→6,6.1922,112.8380,0.0000,0.0000,95,0.0000,0.0000,0.0000,6→4,1.4551,111.9821,0.0000,0.0000,33,0.0000,0.0000,15.9035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,89,4,0,4→2→0,2,10.2204,0,,0.0559,0.0943,0.0000,4→2,9.1525,34.1273,0.0000,0.0000,20,0.0000,0.0000,0.0000,2→0,1.0679,196.0963,0.0000,0.0000,22,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,90,2,1,2→1,1,2.8851,0,,0.0462,0.0499,0.0000,2→1,2.8851,114.9359,0.0000,0.0000,43,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,91,7,2,7→5→4→2,3,10.6177,0,,0.0347,0.0739,0.0000,7→5,5.8211,79.1860,0.0000,0.0000,49,0.0000,0.0000,0.0000,5→4,3.5036,62.4673,0.0000,0.0000,24,0.0000,0.0000,0.0000,4→2,1.2930,191.1206,0.0000,0.0000,92,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,92,7,1,7→6→4→1,3,11.4901,0,,0.0353,0.1028,0.0000,7→6,1.4577,114.5348,0.0000,0.0000,34,0.0000,0.0000,0.0000,6→4,4.0999,122.4673,0.0000,0.0000,66,0.0000,0.0000,0.0000,4→1,5.9324,36.5523,0.0000,0.0000,62,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,93,5,2,5→4→2,2,5.5905,0,,0.0336,0.0485,0.0000,5→4,3.2042,51.7967,0.0000,0.0000,29,0.0000,0.0000,0.0000,4→2,2.3863,46.0293,0.0000,0.0000,83,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,94,7,5,7→5,1,1.4890,0,,0.0814,0.1324,0.0000,7→5,1.4890,157.3509,0.0000,0.0000,63,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,95,7,1,7→6→2→1,3,13.8317,0,,0.0308,0.0655,0.0000,7→6,8.2455,172.1507,0.0000,0.0000,70,0.0000,0.0000,0.0000,6→2,1.1883,174.6505,0.0000,0.0000,30,0.0000,0.0000,0.0000,2→1,4.3978,169.2217,0.0000,0.0000,39,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,96,0,5,0→2→4→5,3,8.3454,0,,0.0361,0.0877,0.0000,0→2,3.2053,136.0503,0.0000,0.0000,26,0.0000,0.0000,0.0000,2→4,2.3333,143.2098,0.0000,0.0000,95,0.0000,0.0000,0.0000,4→5,2.8068,73.3458,0.0000,0.0000,67,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,97,4,2,4→2,1,3.4688,0,,0.0738,0.1438,0.0000,4→2,3.4688,35.6489,0.0000,0.0000,26,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,98,6,5,6→2→4→5,3,10.4496,0,,0.0157,0.0097,0.0000,6→2,3.4213,141.3376,0.0000,0.0000,93,0.0000,0.0000,0.0000,2→4,3.7551,69.0807,0.0000,0.0000,48,0.0000,0.0000,0.0000,4→5,3.2731,41.4797,0.0000,0.0000,25,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,99,5,4,5→4,1,1.5098,0,,0.0532,0.0730,0.0000,5→4,1.5098,140.7700,0.0000,0.0000,62,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPF,100,4,5,4→5,1,5.8511,0,,0.0440,0.1136,0.0000,4→5,5.8511,34.2842,0.0000,0.0000,29,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
