episode,reward,loss,epsilon,hops,delay_ms,dropped,avg_util,avg_q_util,buf_size,buf_fill_pct,beta,mean_prio
34,0.09783196288637697,0.0,1.0,5,20.40239448194062,1.0,0.0322178084844463,0.056687461138450065,173,0.865,0.0,0.0
35,-3.229175297029539,0.0,1.0,7,47.26001026707465,1.0,0.027575996425149032,0.05133369311264972,180,0.8999999999999999,0.0,0.0
36,1.0237474587614503,0.0,1.0,1,4.7291839479492515,0.0,0.05849380743642317,0.08377127451034891,181,0.905,0.0,0.0
37,0.7562833303792638,0.0,1.0,4,24.065419826885226,0.0,0.021109744281549717,0.05115583504354075,185,0.9249999999999999,0.0,0.0
38,0.9471659023205765,0.0,1.0,2,9.500620993285839,0.0,0.057253448346504796,0.11365719764485822,187,0.935,0.0,0.0
39,-3.3406610071759713,0.0,1.0,7,22.983025452800547,1.0,0.03571954836053624,0.05980039079124602,194,0.97,0.0,0.0
40,-4.074606617570132,0.0,1.0,7,31.313041362182535,0.0,0.100272624586249,0.04303295016003077,201,1.005,0.0,0.0
41,-3.1580218628350067,0.0,1.0,7,39.49474221867782,0.0,0.015435705307864391,0.020618531364256246,208,1.04,0.0,0.0
42,0.9582569220775031,0.0,1.0,2,7.311940707201273,0.0,0.025700408566511155,0.03596723720665295,210,1.05,0.0,0.0
43,1.0153088724224764,0.0,1.0,1,5.74872724544034,0.0,0.07864639633567597,0.11012002814975783,211,1.055,0.0,0.0
44,0.909185004728159,0.0,1.0,2,13.85098943201417,0.0,0.0464270450063216,0.11044854664628784,213,1.065,0.0,0.0
45,-0.05606611502225023,0.0,1.0,7,29.212105988895097,1.0,0.052692903290852446,0.06114516601358921,220,1.0999999999999999,0.0,0.0
46,0.5459295867204184,0.0,1.0,3,20.479601143094786,0.0,0.032740268402560904,0.08016772853129578,223,1.115,0.0,0.0
47,1.0169464566748412,0.0,1.0,1,8.325241153386134,0.0,0.05478672141190369,0.15970480368334944,224,1.1199999999999999,0.0,0.0
48,0.3614918107248457,0.0,1.0,5,33.392593096150335,0.0,0.02695912496123442,0.04547093033127421,229,1.145,0.0,0.0
49,0.7954245074567656,0.0,1.0,2,16.71410614122744,1.0,0.09317762873689282,0.1457969035619065,231,1.155,0.0,0.0
