algo,episode,src,dst,path,hops,total_delay_ms,dropped,reward,loss,avg_utilization,avg_queue_util,total_dropped_data,link0_nodes,link0_delay,link0_bandwidth,link0_load,link0_utilization,link0_queue_size_cur,link0_queue_used_cur,link0_queue_util,link0_dropped_data,link1_nodes,link1_delay,link1_bandwidth,link1_load,link1_utilization,link1_queue_size_cur,link1_queue_used_cur,link1_queue_util,link1_dropped_data,link2_nodes,link2_delay,link2_bandwidth,link2_load,link2_utilization,link2_queue_size_cur,link2_queue_used_cur,link2_queue_util,link2_dropped_data,link3_nodes,link3_delay,link3_bandwidth,link3_load,link3_utilization,link3_queue_size_cur,link3_queue_used_cur,link3_queue_util,link3_dropped_data,link4_nodes,link4_delay,link4_bandwidth,link4_load,link4_utilization,link4_queue_size_cur,link4_queue_used_cur,link4_queue_util,link4_dropped_data,link5_nodes,link5_delay,link5_bandwidth,link5_load,link5_utilization,link5_queue_size_cur,link5_queue_used_cur,link5_queue_util,link5_dropped_data,link6_nodes,link6_delay,link6_bandwidth,link6_load,link6_utilization,link6_queue_size_cur,link6_queue_used_cur,link6_queue_util,link6_dropped_data,link7_nodes,link7_delay,link7_bandwidth,link7_load,link7_utilization,link7_queue_size_cur,link7_queue_used_cur,link7_queue_util,link7_dropped_data
DQN,1936,5,1,5→4→5→3→4→6→2→6,7,41.3399,1,-3.1382,0.015493,0.0145,0.0243,2.4604,5→4,3.5137,32.0023,7.0000,0.2187,52,52.0000,1.0000,0.0000,4→5,3.5137,32.0023,10.3468,0.3233,52,52.0000,1.0000,0.0000,5→3,4.3554,181.7705,10.3468,0.0569,35,35.0000,1.0000,0.0000,3→4,9.4893,114.1639,10.3468,0.0906,66,66.0000,1.0000,0.0000,4→6,3.9476,158.6773,42.2576,0.2663,32,32.0000,1.0000,0.0000,6→2,8.2601,154.6277,60.7078,0.3926,71,71.0000,1.0000,0.0000,2→6,8.2601,154.6277,83.7526,0.5416,71,71.0000,1.0000,2.4604,,,,,,,,,
DQN,1937,1,4,1→4,1,4.2922,0,1.0057,0.013150,0.0338,0.0568,0.0000,1→4,4.2922,167.6435,6.0000,0.0358,51,51.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,1938,5,0,5→4→5→4→2→0,5,17.6503,0,-0.1491,0.014956,0.0249,0.0516,0.0000,5→4,1.3394,132.3769,32.0000,0.2417,26,52.0000,2.0000,0.0000,4→5,1.3394,132.3769,24.0000,0.1813,26,26.0000,1.0000,0.0000,5→4,1.3394,132.3769,32.0000,0.2417,26,52.0000,2.0000,0.0000,4→2,8.1170,133.7050,14.3820,0.1076,75,75.0000,1.0000,0.0000,2→0,5.5152,94.2184,14.3820,0.1526,95,95.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,1939,6,1,6→4→1,2,5.6275,0,0.8888,0.018795,0.0535,0.0994,0.0000,6→4,3.7659,43.0540,9.0000,0.2090,88,88.0000,1.0000,0.0000,4→1,1.8616,84.1762,23.9782,0.2849,31,31.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,1940,4,6,4→6,1,1.3327,0,0.9925,0.020838,0.0502,0.1474,0.0000,4→6,1.3327,74.5230,9.0000,0.1208,52,52.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,1941,6,3,6→4→6→4→3,4,9.7579,1,-0.3615,0.011834,0.0357,0.0520,69.9343,6→4,1.7436,194.9714,140.0000,0.7181,42,84.0000,2.0000,49.1998,4→6,1.7436,194.9714,133.1998,0.6832,42,42.0000,1.0000,7.7000,6→4,1.7436,194.9714,140.0000,0.7181,42,84.0000,2.0000,49.1998,4→3,4.5271,92.4814,49.0345,0.5302,39,39.0000,1.0000,13.0345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,1942,0,2,0→1→2,2,8.2904,0,0.8797,0.017740,0.0386,0.0644,0.0000,0→1,1.3431,45.5536,20.9924,0.4608,29,29.0000,1.0000,0.0000,1→2,6.9473,181.4821,20.9924,0.1157,42,42.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,1943,6,7,6→7,1,2.1264,0,1.0324,0.023914,0.0791,0.1658,0.0000,6→7,2.1264,173.8800,10.0000,0.0575,84,84.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,1944,4,2,4→6→2,2,10.5653,0,0.8594,0.019893,0.0279,0.0670,0.0000,4→6,5.6756,30.4509,11.0000,0.3612,86,86.0000,1.0000,0.0000,6→2,4.8896,162.0586,61.1261,0.3772,69,69.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,1945,6,4,6→7→6→2→0→1→3→5,7,49.8924,1,-3.0773,0.018236,0.0232,0.0531,78.6924,6→7,7.5849,182.6593,20.1260,0.1102,61,61.0000,1.0000,0.0000,7→6,7.5849,182.6593,84.7036,0.4637,61,61.0000,1.0000,0.0000,6→2,7.7965,120.4150,103.5581,0.8600,90,90.0000,1.0000,8.2616,2→0,3.9774,73.9638,36.8727,0.4985,35,35.0000,1.0000,70.4308,0→1,3.7503,90.0662,36.8727,0.4094,63,63.0000,1.0000,0.0000,1→3,9.8071,39.1069,36.8727,0.9429,72,72.0000,1.0000,0.0000,3→5,9.3914,48.3289,37.6702,0.7795,75,75.0000,1.0000,0.0000,,,,,,,,,
DQN,1946,0,7,0→1→4→1→4→2→6→2,7,36.5956,0,-3.1565,0.015664,0.0351,0.0646,0.0000,0→1,4.6849,22.9137,13.0000,0.5673,70,70.0000,1.0000,0.0000,1→4,5.3555,141.1561,171.9563,1.2182,88,176.0000,2.0000,0.0000,4→1,5.3555,141.1561,85.9781,0.6091,88,88.0000,1.0000,0.0000,1→4,5.3555,141.1561,171.9563,1.2182,88,176.0000,2.0000,0.0000,4→2,5.1116,63.9499,45.6025,0.7131,45,45.0000,1.0000,0.0000,2→6,5.3663,92.5458,58.0782,0.6276,59,59.0000,1.0000,0.0000,6→2,5.3663,92.5458,58.0782,0.6276,59,59.0000,1.0000,0.0000,,,,,,,,,
DQN,1947,5,1,5→4→1,2,10.8924,1,0.7404,0.010891,0.0726,0.0638,17.2088,5→4,2.5773,146.2531,67.3497,0.4605,37,37.0000,1.0000,4.3497,4→1,8.3150,36.2589,57.5095,1.5861,56,56.0000,1.0000,12.8591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,1948,0,7,0→1→2→4→5→4→2→6,7,40.1422,1,-3.1728,0.018085,0.0232,0.0352,1.9425,0→1,7.2629,58.8943,17.7268,0.3010,47,47.0000,1.0000,0.0000,1→2,6.7590,170.2146,28.8482,0.1695,51,51.0000,1.0000,0.0000,2→4,1.6270,48.9748,33.0685,0.6752,68,68.0000,1.0000,0.0000,4→5,6.9575,187.2320,60.2868,0.3220,95,95.0000,1.0000,0.0000,5→4,6.9575,187.2320,69.9425,0.3736,95,95.0000,1.0000,0.0000,4→2,1.6270,48.9748,68.0000,1.3885,68,68.0000,1.0000,1.9425,2→6,8.9513,124.8079,82.1232,0.6580,88,88.0000,1.0000,0.0000,,,,,,,,,
DQN,1949,2,4,2→1→0→2→6→2→6→2,7,50.7856,1,-3.7960,0.016871,0.0387,0.0837,116.2423,2→1,2.7684,106.5890,13.3987,0.1257,28,28.0000,1.0000,0.0000,1→0,6.6429,167.1160,75.2316,0.4502,44,44.0000,1.0000,0.6304,0→2,3.8758,183.7470,83.1902,0.4527,63,63.0000,1.0000,32.4218,2→6,9.3746,82.6154,80.0000,0.9683,20,40.0000,2.0000,83.1902,6→2,9.3746,82.6154,80.0000,0.9683,20,40.0000,2.0000,0.0000,2→6,9.3746,82.6154,80.0000,0.9683,20,40.0000,2.0000,83.1902,6→2,9.3746,82.6154,80.0000,0.9683,20,40.0000,2.0000,0.0000,,,,,,,,,
DQN,1950,7,0,7→6→4→1→2→4→3→4,7,24.2147,0,-2.7199,0.015322,0.0189,0.0448,0.0000,7→6,3.9268,184.8362,11.0000,0.0595,90,90.0000,1.0000,0.0000,6→4,1.5611,65.6751,11.0000,0.1675,70,70.0000,1.0000,0.0000,4→1,2.5168,77.5854,11.0000,0.1418,96,96.0000,1.0000,0.0000,1→2,8.2733,35.8227,11.0000,0.3071,70,70.0000,1.0000,0.0000,2→4,4.1206,125.5617,11.0000,0.0876,27,27.0000,1.0000,0.0000,4→3,1.9081,115.1337,32.1108,0.2789,90,90.0000,1.0000,0.0000,3→4,1.9081,115.1337,32.1108,0.2789,90,90.0000,1.0000,0.0000,,,,,,,,,
DQN,1951,3,5,3→5,1,6.4102,1,0.9330,0.011171,0.0583,0.1124,2.2041,3→5,6.4102,75.0456,42.2041,0.5624,26,26.0000,1.0000,2.2041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,1952,5,1,5→4→2→6→7→6→2→6,7,55.6862,0,-3.2350,0.019970,0.0313,0.0129,0.0000,5→4,5.7623,191.2736,15.0000,0.0784,61,61.0000,1.0000,0.0000,4→2,9.2061,101.2703,15.0000,0.1481,57,57.0000,1.0000,0.0000,2→6,7.5206,105.4281,54.4364,0.5163,83,166.0000,2.0000,0.0000,6→7,9.0780,59.7593,70.2871,1.1762,87,87.0000,1.0000,0.0000,7→6,9.0780,59.7593,39.4364,0.6599,87,87.0000,1.0000,0.0000,6→2,7.5206,105.4281,39.4364,0.3741,83,83.0000,1.0000,0.0000,2→6,7.5206,105.4281,54.4364,0.5163,83,166.0000,2.0000,0.0000,,,,,,,,,
DQN,1953,7,0,7→5→7→5→3→5→7→6,7,18.1478,0,-3.5879,0.014268,0.0424,0.0296,0.0000,7→5,2.2957,194.3592,100.0963,0.5150,29,58.0000,2.0000,0.0000,5→7,2.2957,194.3592,62.1595,0.3198,29,58.0000,2.0000,0.0000,7→5,2.2957,194.3592,100.0963,0.5150,29,58.0000,2.0000,0.0000,5→3,3.8955,64.7297,13.7142,0.2119,94,94.0000,1.0000,0.0000,3→5,3.8955,64.7297,13.7142,0.2119,94,94.0000,1.0000,0.0000,5→7,2.2957,194.3592,62.1595,0.3198,29,58.0000,2.0000,0.0000,7→6,1.1742,39.0810,55.9869,1.4326,56,56.0000,1.0000,0.0000,,,,,,,,,
DQN,1954,1,2,1→0→2,2,10.6460,0,0.8871,0.023455,0.0337,0.0724,0.0000,1→0,2.6513,115.0665,16.8072,0.1461,58,58.0000,1.0000,0.0000,0→2,7.9947,105.4175,56.4644,0.5356,90,90.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,1955,6,1,6→2→6→4→5→3→1,6,46.9482,1,-0.2605,0.017649,0.0334,0.0560,11.4217,6→2,9.3836,165.8697,37.4217,0.2256,81,81.0000,1.0000,0.0000,2→6,9.3836,165.8697,37.4217,0.2256,81,81.0000,1.0000,0.0000,6→4,5.1833,82.1159,34.0000,0.4140,34,34.0000,1.0000,3.4217,4→5,9.5515,195.3503,26.0000,0.1331,26,26.0000,1.0000,8.0000,5→3,5.8704,22.6190,26.0000,1.1495,89,89.0000,1.0000,0.0000,3→1,7.5756,21.7814,26.0000,1.1937,25,25.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,
DQN,1956,4,7,4→5→7,2,8.1921,0,0.9034,0.023228,0.0719,0.1558,0.0000,4→5,2.5463,120.9715,45.1777,0.3735,49,49.0000,1.0000,0.0000,5→7,5.6457,197.3341,45.1777,0.2289,61,61.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,1957,6,5,6→2→0→1→2→1→2→4,7,29.0151,1,-3.5511,0.015627,0.0431,0.0659,40.7997,6→2,4.0429,139.4742,14.0000,0.1004,32,32.0000,1.0000,0.0000,2→0,5.5033,129.6121,29.4535,0.2272,38,38.0000,1.0000,0.0000,0→1,8.4219,137.1878,64.6731,0.4714,43,43.0000,1.0000,8.1266,1→2,1.2359,80.3061,128.0000,1.5939,32,64.0000,2.0000,32.6731,2→1,1.2359,80.3061,64.0000,0.7970,32,32.0000,1.0000,0.0000,1→2,1.2359,80.3061,128.0000,1.5939,32,64.0000,2.0000,32.6731,2→4,7.3393,124.0033,59.4106,0.4791,95,95.0000,1.0000,0.0000,,,,,,,,,
DQN,1958,2,4,2→4,1,4.7543,0,0.9701,0.030701,0.0659,0.1547,0.0000,2→4,4.7543,65.6156,9.0000,0.1372,43,43.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,1959,6,1,6→4→6→7→5→7→5→7,7,28.8392,1,-3.4084,0.021104,0.0241,0.0165,91.0337,6→4,6.4855,172.7316,36.0109,0.2085,26,26.0000,1.0000,0.0000,4→6,6.4855,172.7316,26.0000,0.1505,26,26.0000,1.0000,10.0109,6→7,5.9990,126.5566,49.6158,0.3920,58,58.0000,1.0000,0.0000,7→5,2.4673,187.2857,280.6158,1.4983,77,154.0000,2.0000,81.0228,5→7,2.4673,187.2857,312.0228,1.6660,77,154.0000,2.0000,0.0000,7→5,2.4673,187.2857,280.6158,1.4983,77,154.0000,2.0000,81.0228,5→7,2.4673,187.2857,312.0228,1.6660,77,154.0000,2.0000,0.0000,,,,,,,,,
DQN,1960,4,2,4→1→0→2,3,10.7130,1,0.5348,0.020288,0.0402,0.0478,61.1244,4→1,4.1659,179.1760,70.8425,0.3954,91,91.0000,1.0000,0.0000,1→0,3.9893,159.8540,38.1206,0.2385,34,34.0000,1.0000,40.9632,0→2,2.5578,107.2965,50.0407,0.4664,34,34.0000,1.0000,20.1613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,1961,2,4,2→1→4,2,4.7914,1,0.8740,0.038340,0.0498,0.1144,0.3580,2→1,2.9517,44.3522,10.6570,0.2403,25,25.0000,1.0000,0.0000,1→4,1.8397,143.3404,39.7010,0.2770,25,25.0000,1.0000,0.3580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,1962,1,0,1→2→6→4→2→4→3→1,7,50.4155,0,-3.1894,0.023450,0.0152,0.0428,0.0000,1→2,7.6683,172.8291,9.0000,0.0521,41,41.0000,1.0000,0.0000,2→6,6.1893,153.1710,9.0000,0.0588,51,51.0000,1.0000,0.0000,6→4,6.3335,130.3001,9.0000,0.0691,24,24.0000,1.0000,0.0000,4→2,9.8942,75.5960,9.0000,0.1191,40,40.0000,1.0000,0.0000,2→4,9.8942,75.5960,11.9783,0.1585,40,40.0000,1.0000,0.0000,4→3,6.7942,135.6224,11.9783,0.0883,58,58.0000,1.0000,0.0000,3→1,3.6417,90.9114,11.9783,0.1318,23,23.0000,1.0000,0.0000,,,,,,,,,
DQN,1963,5,3,5→3,1,3.8408,0,0.9841,0.017391,0.0331,0.0937,0.0000,5→3,3.8408,127.1191,9.0000,0.0708,27,27.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,1964,4,3,4→5→3,2,13.2441,0,0.8671,0.039088,0.0274,0.0560,0.0000,4→5,5.1322,40.9713,15.0000,0.3661,99,99.0000,1.0000,0.0000,5→3,8.1119,148.8148,15.0000,0.1008,62,62.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,1965,7,3,7→6→2→1→3,4,18.9258,0,0.6770,0.025052,0.0368,0.0850,0.0000,7→6,2.6202,133.9754,10.0000,0.0746,55,55.0000,1.0000,0.0000,6→2,4.5419,130.6982,10.0000,0.0765,71,71.0000,1.0000,0.0000,2→1,9.9538,88.7644,10.0000,0.1127,68,68.0000,1.0000,0.0000,1→3,1.8098,130.6009,10.0000,0.0766,46,46.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,1966,5,7,5→7,1,2.2520,0,0.9729,0.028266,0.0431,0.0538,0.0000,5→7,2.2520,75.9031,25.1576,0.3314,37,37.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,1967,5,4,5→7→5→4,3,9.4685,0,0.4573,0.022828,0.0393,0.0440,0.0000,5→7,2.4763,168.8099,9.3680,0.0555,66,66.0000,1.0000,0.0000,7→5,2.4763,168.8099,9.3680,0.0555,66,66.0000,1.0000,0.0000,5→4,4.5160,47.6083,9.3680,0.1968,36,36.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,1968,4,2,4→3→1→3→1→3→4→2,7,19.1835,1,-1.4943,0.023008,0.0192,0.0392,228.4241,4→3,4.3200,147.3061,65.5417,0.4449,91,91.0000,1.0000,0.0000,3→1,1.5092,180.4026,248.0000,1.3747,62,124.0000,2.0000,65.5417,1→3,1.5092,180.4026,248.0000,1.3747,62,124.0000,2.0000,0.0000,3→1,1.5092,180.4026,248.0000,1.3747,62,124.0000,2.0000,65.5417,1→3,1.5092,180.4026,248.0000,1.3747,62,124.0000,2.0000,0.0000,3→4,4.3200,147.3061,161.4412,1.0960,91,91.0000,1.0000,41.4412,4→2,4.5068,178.2482,40.0000,0.2244,20,20.0000,1.0000,121.4412,,,,,,,,,
DQN,1969,4,1,4→1,1,6.5310,1,0.9679,0.016000,0.0602,0.0850,3.6991,4→1,6.5310,174.7657,100.6991,0.5762,57,57.0000,1.0000,3.6991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,1970,0,3,0→1→0→2→0→1→0→1,7,18.5079,1,-3.8293,0.019251,0.0508,0.0128,71.3980,0→1,3.1988,120.4992,287.3980,2.3851,52,156.0000,3.0000,0.0000,1→0,3.1988,120.4992,124.0000,1.0291,52,104.0000,2.0000,19.3980,0→2,1.2570,35.4309,48.0000,1.3548,24,24.0000,1.0000,52.0000,2→0,1.2570,35.4309,48.0000,1.3548,24,24.0000,1.0000,0.0000,0→1,3.1988,120.4992,287.3980,2.3851,52,156.0000,3.0000,0.0000,1→0,3.1988,120.4992,124.0000,1.0291,52,104.0000,2.0000,19.3980,0→1,3.1988,120.4992,287.3980,2.3851,52,156.0000,3.0000,0.0000,,,,,,,,,
DQN,1971,2,1,2→6→7→5→3→1,5,18.1220,0,0.5983,0.013424,0.0200,0.0278,0.0000,2→6,1.3150,58.7216,19.8800,0.3385,23,23.0000,1.0000,0.0000,6→7,4.2126,96.0452,19.8800,0.2070,43,43.0000,1.0000,0.0000,7→5,1.5513,151.6288,19.8800,0.1311,48,48.0000,1.0000,0.0000,5→3,5.1398,101.5415,19.8800,0.1958,58,58.0000,1.0000,0.0000,3→1,5.9034,47.3208,19.8800,0.4201,73,73.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,1972,4,3,4→3,1,3.7828,0,0.9544,0.014852,0.0570,0.0912,0.0000,4→3,3.7828,60.9992,30.1657,0.4945,34,34.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,1973,1,0,1→3→5→3→1→0,5,28.6200,1,-0.3915,0.015404,0.0330,0.1041,44.7492,1→3,1.6414,185.3869,8.0000,0.0432,64,64.0000,1.0000,0.0000,3→5,8.6188,68.0470,36.6387,0.5384,99,99.0000,1.0000,0.0000,5→3,8.6188,68.0470,36.6387,0.5384,99,99.0000,1.0000,0.0000,3→1,1.6414,185.3869,74.9526,0.4043,64,64.0000,1.0000,0.0000,1→0,8.0997,198.4088,31.7965,0.1603,31,31.0000,1.0000,44.7492,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,1974,6,4,6→7→5→4,3,12.7049,1,0.6500,0.016071,0.0435,0.0507,1.9608,6→7,2.0104,75.1319,37.3175,0.4967,79,79.0000,1.0000,0.0000,7→5,8.0575,44.5905,46.6433,1.0460,41,41.0000,1.0000,1.9608,5→4,2.6369,33.9653,46.6433,1.3733,47,47.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,1975,5,1,5→3→5→3→5→7→6→7,7,55.1810,1,-3.7983,0.015159,0.0683,0.0222,161.0257,5→3,8.9372,109.5128,308.5671,2.8176,99,198.0000,2.0000,10.5128,3→5,8.9372,109.5128,220.0799,2.0096,99,198.0000,2.0000,0.0000,5→3,8.9372,109.5128,308.5671,2.8176,99,198.0000,2.0000,10.5128,3→5,8.9372,109.5128,220.0799,2.0096,99,198.0000,2.0000,0.0000,5→7,2.7187,43.9334,58.0000,1.3202,29,29.0000,1.0000,150.5128,7→6,8.3568,24.3545,58.0000,2.3815,77,86.2909,1.1207,0.0000,6→7,8.3568,24.3545,48.7091,2.0000,77,77.0000,1.0000,0.0000,,,,,,,,,
DQN,1976,4,2,4→5→4→5→3→1→3→1,7,34.5793,1,-3.6444,0.019812,0.0457,0.0449,105.2008,4→5,8.4137,126.7255,388.9248,3.0690,68,136.0000,2.0000,32.2937,5→4,8.4137,126.7255,304.2937,2.4012,68,68.0000,1.0000,13.2186,4→5,8.4137,126.7255,388.9248,3.0690,68,136.0000,2.0000,32.2937,5→3,5.6370,136.1399,35.9317,0.2639,23,23.0000,1.0000,57.9317,3→1,1.2337,172.9146,71.9317,0.4160,36,72.0000,2.0000,0.9126,1→3,1.2337,172.9146,72.9126,0.4217,36,36.0000,1.0000,0.8443,3→1,1.2337,172.9146,71.9317,0.4160,36,72.0000,2.0000,0.9126,,,,,,,,,
DQN,1977,1,0,1→2→4→6→4→5→7→5,7,32.2041,1,-2.9415,0.013445,0.0111,0.0236,12.8195,1→2,7.6161,184.4443,10.0000,0.0542,24,24.0000,1.0000,0.0000,2→4,2.1365,22.5423,16.4229,0.7285,35,35.0000,1.0000,0.0000,4→6,4.5856,49.5346,34.8195,0.7029,77,77.0000,1.0000,0.0000,6→4,4.5856,49.5346,34.8195,0.7029,77,77.0000,1.0000,0.0000,4→5,4.4982,109.1026,22.0000,0.2016,22,22.0000,1.0000,12.8195,5→7,4.3911,28.8004,23.7635,0.8251,80,80.0000,1.0000,0.0000,7→5,4.3911,28.8004,28.9065,1.0037,80,80.0000,1.0000,0.0000,,,,,,,,,
DQN,1978,3,0,3→1→2→0,3,16.4674,0,0.7998,0.010925,0.0442,0.0544,0.0000,3→1,3.3661,105.1664,7.4721,0.0711,63,63.0000,1.0000,0.0000,1→2,7.2485,199.0111,7.9064,0.0397,69,69.0000,1.0000,0.0000,2→0,5.8528,107.2534,7.9064,0.0737,91,91.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,1979,1,0,1→3→5→4→3→5→3→4,7,43.3365,0,-3.4541,0.014183,0.0281,0.0328,0.0000,1→3,4.3917,40.8703,9.8952,0.2421,48,48.0000,1.0000,0.0000,3→5,8.4075,123.4605,88.7113,0.7185,80,160.0000,2.0000,0.0000,5→4,3.6683,25.8573,38.4818,1.4882,34,35.2442,1.0366,0.0000,4→3,5.0271,142.0512,54.2030,0.3816,96,96.0000,1.0000,0.0000,3→5,8.4075,123.4605,88.7113,0.7185,80,160.0000,2.0000,0.0000,5→3,8.4075,123.4605,29.9806,0.2428,80,80.0000,1.0000,0.0000,3→4,5.0271,142.0512,38.5755,0.2716,96,96.0000,1.0000,0.0000,,,,,,,,,
DQN,1980,7,6,7→6,1,1.8078,0,0.9975,0.013627,0.0698,0.1294,0.0000,7→6,1.8078,55.1309,15.0000,0.2721,88,88.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,1981,5,2,5→3→4→2,3,20.5371,0,0.6358,0.021863,0.0569,0.0783,0.0000,5→3,7.6469,30.8843,22.7994,0.7382,63,63.0000,1.0000,0.0000,3→4,8.5845,67.9150,22.7994,0.3357,67,67.0000,1.0000,0.0000,4→2,4.3057,42.4956,28.9535,0.6813,90,90.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,1982,1,2,1→2,1,3.7793,0,0.9726,0.031344,0.0678,0.1612,0.0000,1→2,3.7793,54.1722,13.4010,0.2474,54,54.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,1983,6,0,6→2→4→6→7→5→4→5,7,30.9471,1,-3.2732,0.019777,0.0236,0.0089,23.8686,6→2,5.6447,133.9307,75.9127,0.5668,87,87.0000,1.0000,0.0000,2→4,1.8371,26.2273,75.9127,2.8944,99,122.4580,1.2369,0.0000,4→6,7.3673,64.6013,85.4566,1.3228,56,56.0000,1.0000,0.0000,6→7,8.1974,173.6520,85.4566,0.4921,97,97.0000,1.0000,0.0000,7→5,1.1690,51.0062,88.4203,1.7335,34,34.0000,1.0000,6.5063,5→4,3.3658,118.5736,104.9990,0.8855,44,44.0000,1.0000,6.0487,4→5,3.3658,118.5736,70.2273,0.5923,44,44.0000,1.0000,11.3137,,,,,,,,,
DQN,1984,6,2,6→7→5→7→6→4→3→4,7,44.1930,1,-3.4499,0.019681,0.0269,0.0153,20.6822,6→7,6.9365,107.2185,44.8312,0.4181,92,92.0000,1.0000,0.0000,7→5,8.7275,34.4006,39.4381,1.1464,35,35.0000,1.0000,14.2692,5→7,8.7275,34.4006,47.0497,1.3677,35,35.0000,1.0000,6.4130,7→6,6.9365,107.2185,50.8723,0.4745,92,92.0000,1.0000,0.0000,6→4,8.2896,35.8034,54.1988,1.5138,73,73.0000,1.0000,0.0000,4→3,2.2876,41.7566,54.1988,1.2980,73,73.0000,1.0000,0.0000,3→4,2.2876,41.7566,58.4726,1.4003,73,73.0000,1.0000,0.0000,,,,,,,,,
DQN,1985,5,4,5→3→4,2,14.6873,0,0.8369,0.013677,0.0414,0.1087,0.0000,5→3,5.4752,107.9104,14.0000,0.1297,23,23.0000,1.0000,0.0000,3→4,9.2121,78.8523,14.0000,0.1775,62,62.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,1986,5,0,5→4→6→4→2→0,5,25.5610,1,-0.0682,0.015642,0.0326,0.0713,39.5319,5→4,3.9022,189.5695,10.0000,0.0528,27,27.0000,1.0000,0.0000,4→6,5.7350,147.2334,10.0000,0.0679,35,35.0000,1.0000,0.0000,6→4,5.7350,147.2334,63.2925,0.4299,35,35.0000,1.0000,0.2875,4→2,5.4289,126.2293,60.7272,0.4811,45,45.0000,1.0000,34.0196,2→0,4.7599,165.2326,102.4977,0.6203,79,79.0000,1.0000,5.2248,,,,,,,,,,,,,,,,,,,,,,,,,,,
