algo,episode,src,dst,path,hops,total_delay_ms,dropped,reward,loss,avg_utilization,avg_queue_util,total_dropped_data,link0_nodes,link0_delay,link0_bandwidth,link0_load,link0_utilization,link0_queue_size_cur,link0_queue_used_cur,link0_queue_util,link0_dropped_data,link1_nodes,link1_delay,link1_bandwidth,link1_load,link1_utilization,link1_queue_size_cur,link1_queue_used_cur,link1_queue_util,link1_dropped_data,link2_nodes,link2_delay,link2_bandwidth,link2_load,link2_utilization,link2_queue_size_cur,link2_queue_used_cur,link2_queue_util,link2_dropped_data,link3_nodes,link3_delay,link3_bandwidth,link3_load,link3_utilization,link3_queue_size_cur,link3_queue_used_cur,link3_queue_util,link3_dropped_data,link4_nodes,link4_delay,link4_bandwidth,link4_load,link4_utilization,link4_queue_size_cur,link4_queue_used_cur,link4_queue_util,link4_dropped_data,link5_nodes,link5_delay,link5_bandwidth,link5_load,link5_utilization,link5_queue_size_cur,link5_queue_used_cur,link5_queue_util,link5_dropped_data,link6_nodes,link6_delay,link6_bandwidth,link6_load,link6_utilization,link6_queue_size_cur,link6_queue_used_cur,link6_queue_util,link6_dropped_data,link7_nodes,link7_delay,link7_bandwidth,link7_load,link7_utilization,link7_queue_size_cur,link7_queue_used_cur,link7_queue_util,link7_dropped_data
DQN,11,1,4,1→4,1,5.2976,0,1.0067,0.000000,0.0802,0.2195,0.0000,1→4,5.2976,157.0579,9.0000,0.0573,69,69.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,12,5,0,5→3→5→3→1→4→5→7,7,51.5783,1,-3.5684,0.000000,0.0422,0.0349,22.6216,5→3,9.9887,73.3452,109.9937,1.4997,82,164.0000,2.0000,0.0000,3→5,9.9887,73.3452,80.7950,1.1016,82,82.0000,1.0000,0.0000,5→3,9.9887,73.3452,109.9937,1.4997,82,164.0000,2.0000,0.0000,3→1,3.4734,179.5804,49.2071,0.2740,51,51.0000,1.0000,0.0000,1→4,2.6883,35.2661,49.2071,1.3953,74,74.0000,1.0000,0.0000,4→5,9.9782,146.1586,61.7556,0.4225,78,78.0000,1.0000,0.0000,5→7,5.4722,44.1860,44.7482,1.0127,28,28.0000,1.0000,22.6216,,,,,,,,,
DQN,13,2,1,2→1,1,6.0595,0,0.9511,0.000000,0.0399,0.0956,0.0000,2→1,6.0595,38.3409,7.1173,0.1856,34,34.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,14,5,6,5→3→4→3→1→2→6,6,37.9734,1,-0.1649,0.000000,0.0163,0.0127,2.8451,5→3,6.5721,49.2938,13.0000,0.2637,91,91.0000,1.0000,0.0000,3→4,8.6994,65.7674,13.0000,0.1977,81,81.0000,1.0000,0.0000,4→3,8.6994,65.7674,16.5930,0.2523,81,81.0000,1.0000,0.0000,3→1,6.5813,63.4950,32.8089,0.5167,28,28.0000,1.0000,0.0000,1→2,2.6949,25.6310,34.0362,1.3279,32,32.0000,1.0000,2.8451,2→6,4.7262,77.1744,34.0362,0.4410,85,85.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,
DQN,15,0,3,0→1→4→2→1→0→2→4,7,29.8459,1,-3.5215,0.000000,0.0233,0.0613,30.5168,0→1,1.0361,22.9844,13.0000,0.5656,45,45.0000,1.0000,0.0000,1→4,1.4547,127.0222,60.5168,0.4764,41,41.0000,1.0000,0.0000,4→2,3.6528,139.4518,60.5168,0.4340,98,98.0000,1.0000,0.0000,2→1,9.0757,178.4685,30.0000,0.1681,30,30.0000,1.0000,30.5168,1→0,1.0361,22.9844,36.5695,1.5911,45,45.0000,1.0000,0.0000,0→2,9.9378,125.2350,36.5695,0.2920,51,51.0000,1.0000,0.0000,2→4,3.6528,139.4518,36.5695,0.2622,98,98.0000,1.0000,0.0000,,,,,,,,,
DQN,16,5,4,5→4,1,2.7707,0,0.9901,0.000000,0.0607,0.1279,0.0000,5→4,2.7707,87.8971,6.0000,0.0683,49,49.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,17,4,3,4→2→0→2→6→7→6→4,7,40.2314,1,-3.3146,0.000000,0.0275,0.0260,7.0974,4→2,7.6162,73.2859,50.3152,0.6866,87,87.0000,1.0000,0.0000,2→0,5.9761,37.4560,55.1517,1.4724,85,85.0000,1.0000,0.0000,0→2,5.9761,37.4560,55.1517,1.4724,85,85.0000,1.0000,0.0000,2→6,8.6620,177.4235,55.1517,0.3108,76,76.0000,1.0000,0.0000,6→7,5.0487,64.1466,57.5416,0.8970,90,90.0000,1.0000,0.0000,7→6,5.0487,64.1466,57.5416,0.8970,90,90.0000,1.0000,0.0000,6→4,1.9036,67.6172,52.9472,0.7830,34,34.0000,1.0000,7.0974,,,,,,,,,
DQN,18,5,0,5→4→3→1→4→3→1→2,7,38.6021,1,-3.7015,0.000000,0.0277,0.0389,106.8652,5→4,1.0208,198.8063,73.6945,0.3707,42,42.0000,1.0000,0.6945,4→3,4.9419,135.0225,156.5199,1.1592,93,186.0000,2.0000,0.0000,3→1,9.2860,81.4497,128.0000,1.5715,32,64.0000,2.0000,47.3453,1→4,1.4510,81.6327,58.8254,0.7206,24,24.0000,1.0000,58.8254,4→3,4.9419,135.0225,156.5199,1.1592,93,186.0000,2.0000,0.0000,3→1,9.2860,81.4497,128.0000,1.5715,32,64.0000,2.0000,47.3453,1→2,7.6745,104.3767,81.4432,0.7803,87,87.0000,1.0000,0.0000,,,,,,,,,
DQN,19,6,0,6→2→1→0,3,10.7904,1,0.6058,0.000000,0.0565,0.0911,30.3450,6→2,3.8844,195.7031,82.2344,0.4202,70,70.0000,1.0000,0.0000,2→1,2.1323,36.5103,58.1106,1.5916,55,55.0000,1.0000,30.3450,1→0,4.7737,136.4729,58.1106,0.4258,79,79.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,20,4,2,4→1→2,2,5.7574,0,0.8699,0.000000,0.0611,0.0941,0.0000,4→1,1.0676,80.5034,47.1931,0.5862,56,56.0000,1.0000,0.0000,1→2,4.6898,59.3942,51.5522,0.8680,72,72.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
